Nama_Aplikasi,Kategori,Rating_Level,Tahun_Rilis,Jumlah_Download
WhatsApp Messenger,Komunikasi,5,2010,5000000000
,,,,
,,4,2009,5000000000
TikTok,Sosial Media,5,2017,3000000000
Telegram,Komunikasi,5,2013,1000000000
Snapchat,Sosial Media,4,2012,1000000000
Zoom Meetings,Bisnis,4,2012,1000000000
Google Meet,Bisnis,4,2017,1000000000
,Musik,5,2011,1000000000
YouTube,Video,5,2010,
Netflix,Entertainment,5,2014,1000000000
Disney+ Hotstar,Entertainment,4,2020,500000000
Google Maps,Navigasi,5,2010,10000000000
Waze,Navigasi,4,2013,500000000
Gojek,Transportasi,5,2015,100000000
Grab,Transportasi,4,2014,100000000
Shopee,Belanja,5,2015,500000000
Tokopedia,Belanja,5,2014,100000000
Lazada,Belanja,4,2014,500000000
Amazon Shopping,Belanja,4,2012,500000000
Mobile Legends: Bang Bang,Game,5,2016,1000000000
PUBG Mobile,Game,5,2018,1000000000
Free Fire,Game,5,2017,1000000000
Subway Surfers,Game,5,2012,1000000000
Clash of Clans,Game,5,2013,500000000
Candy Crush Saga,Game,5,2012,1000000000
,Game,4,2018,500000000
,Game,5,2014,500000000
Minecraft,Game,5,2011,100000000
Duolingo,Edukasi,5,2012,500000000
Coursera,Edukasi,4,2014,100000000
Google Classroom,Edukasi,5,2015,100000000
Khan Academy,Edukasi,5,2012,100000000
Microsoft Word,Produktivitas,5,2015,1000000000
Microsoft Excel,Produktivitas,5,2015,
Google Docs,Produktivitas,5,2014,1000000000
Google Drive,Produktivitas,5,2012,5000000000
Dropbox,Produktivitas,4,2011,1000000000
Canva,,5,2017,500000000
CapCut,Video Editor,5,2020,1000000000
PicsArt,Foto Editor,4,2012,1000000000
Snapseed,Foto Editor,5,2011,100000000
Adobe Lightroom,Foto Editor,5,2015,100000000
ZArchiver,Tools,4,2012,100000000
CCleaner,Tools,4,2014,100000000
MX Player,Video,5,2011,1000000000
VLC Player,Video,5,2012,100000000
Truecaller,Komunikasi,4,2011,500000000
PayPal,Keuangan,5,2011,500000000
OVO,Keuangan,4,2017,50000000
Dana,Keuangan,4,2018,50000000
